"Manifest Name","Load Reference","Created Date","Model Number","Product Name","Condition","MSRP","Our Price"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
"STOVE TRUCK LOAD #1","LOAD-1774728364","2026-03-28T20:07:07Z","WFE515S0JB","Whirlpool 5.1 Cu. Ft. Smart Electric Range with Frozen Bake Technology","New","1,199.99","450.00"
